tire_location,temperature,pressure,gps_latitude,gps_longitude,vehicle_speed,fuel_level,oil_pressure,engine_temperature
FL,77.3,105.4,39.9526,-75.1652,45,70,50,195
FR,81.2,107.8,39.9526,-75.1652,45,70,50,195
RL,75.9,98.6,39.9526,-75.1652,45,70,50,195
RR,79.1,102.1,39.9526,-75.1652,45,70,50,195
ML,73.6,101.3,39.9526,-75.1652,45,70,50,195
MR,74.8,100.2,39.9526,-75.1652,45,70,50,195
FOL,79.7,109.1,39.9526,-75.1652,45,70,50,195
FOR,78.3,108.7,39.9526,-75.1652,45,70,50,195
ROL,77.8,101.6,39.9526,-75.1652,45,70,50,195
ROR,80.2,103.8,39.9526,-75.1652,45,70,50,195
MOL,72.9,99.8,39.9526,-75.1652,45,70,50,195
MOR,73.8,100.7,39.9526,-75.1652,45,70,50,195
FIL,82.1,110.2,39.9526,-75.1652,45,70,50,195
FIR,83.5,111.5,39.9526,-75.1652,45,70,50,195
ROL2,76.5,100.9,39.9526,-75.1652,45,70,50,195
ROR2,79.7,102.4,39.9526,-75.1652,45,70,50,195

